38
1 이상해씨 45 49 49 65 65 45 2 GRASS POISON
2 이상해풀 60 62 63 80 80 60 2 GRASS POISON
3 이상해꽃 80 82 83 100 100 80 2 GRASS POISON
4 파이리 39 52 43 60 50 65 1 FIRE
5 리자드 58 64 58 80 65 80 1 FIRE
6 리자몽 78 84 78 109 85 100 2 FIRE FLYING
7 꼬부기 44 48 65 50 64 43 1 WATER
8 어니부기 59 63 80 65 80 58 1 WATER
9 거북왕 79 83 100 85 105 78 1 WATER
10 캐터피 45 30 35 20 20 45 1 BUG
11 단데기 50 20 55 25 25 30 1 BUG
12 버터플 60 45 50 90 80 70 1 BUG
13 뿔충이 40 35 30 20 20 50 1 BUG
14 딱충이 45 25 50 25 25 35  1 BUG
15 독침봉 65 90 40 45 80 75 1 BUG
16 구구 40 45 40 35 35 56 1 FLYING
17 피죤 63 60 55 50 50 71 1 FLYING
18 피죤투 83 80 75 70 70 101 1 FLYING
19 꼬렛 30 56 35 25 35 72 1 NORMAL
20 레트라 55 81 60 50 70 97 1 NORMAL
21 깨비참 40 60 30 31 31 70 1 FLYING
22 깨비드릴조 65 90 65 61 61 100 1 FLYING
23 아보 35 60 44 40 54 55 1 POISON
24 아보크 60 85 69 65 79 80 1 POISON
25 피카츄 35 55 30 50 40 90 1 ELECTRIC
26 라이츄 60 90 55 90 80 110 1 ELECTRIC
27 모래두지 50 75 85 20 30 40 1 GROUND
28 고지 75 100 110 45 55 65 1 GROUND
29 니드런(여) 55 47 52 40 40 41 1 POISON
30 니드리나 70 62 67 55 55 56 1 POISON
31 니드퀸 90 92 87 75 85 76 2 POISON GROUND
32 니드런(남) 46 57 40 40 40 50 1 POISON
33 니드리노 61 72 57 55 55 65 1 POISON
34 니드킹 81 102 77 85 75 85 2 POISON GROUND
35 삐삐 70 45 48 60 65 35 1 FAIRY
36 픽시 95 70 73 95 90 60 1 FAIRY
37 식스테일 38 41 40 50 65 65 1 FIRE
38 나인테일 73 76 75 81 100 100 1 FIRE
